filename,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime,DIAMETER-mean,DIAMETER-coeff-variation,DIAMETER-min,DIAMETER-max,DIAMETER-entropy,DIAMETER-featuretime,cl-num-mean,cl-num-coeff-variation,cl-num-min,cl-num-max,cl-num-q90,cl-num-q10,cl-num-q75,cl-num-q25,cl-num-q50,cl-size-mean,cl-size-coeff-variation,cl-size-min,cl-size-max,cl-size-q90,cl-size-q10,cl-size-q75,cl-size-q25,cl-size-q50,cl-featuretime,SP-bias-mean,SP-bias-coeff-variation,SP-bias-min,SP-bias-max,SP-bias-q90,SP-bias-q10,SP-bias-q75,SP-bias-q25,SP-bias-q50,SP-unconstraint-mean,SP-unconstraint-coeff-variation,SP-unconstraint-min,SP-unconstraint-max,SP-unconstraint-q90,SP-unconstraint-q10,SP-unconstraint-q75,SP-unconstraint-q25,SP-unconstraint-q50,sp-featuretime,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q.10,saps_FirstLocalMinStep_Q.90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,ls-saps-featuretime,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q.10,gsat_FirstLocalMinStep_Q.90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,ls-gsat-featuretime,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars,lobjois-featuretime
13,5895,6951,5375,6951,0.096744186,0,0,0.773270033,0.787937673,0.4455513,0,1,1.078798837,0.000335398,0.788876012,0.000186047,0.001860465,1.107026071,0.693569271,0.758452021,0.852970796,0,0.000295511,2.341725473,0.000143864,0.017695296,0.482746294,0.939866061,0.218125413,0,1,0.473099461,0.000206318,1.476432043,0,0.006473889,0.43193326,0.851676018,0.000163181,4.067651056,0,0.010933679,0.09,0.001631827,1.957140157,0,0.017695296,1.906455885,0.06989591,1.912975494,0,0.666666667,1.775174947,0.28,1.833457387,1.354633309,1,11,0.481271051,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,11.9756,14.3178,2493.25,0.0714608,2507,2461,2547,1.00561,0.11164,1.05144,0.832668,2.11,4.42952,0.526218,2506.19,0.0139378,2505,2462,2551,0.380949,0.309501,0.992125,0.0019045,3.63,0.000500085,0.836153914,0.4
17,90,270,90,270,0,0,0,0.333333333,0.511111111,0.576804311,0.333333333,1,0.579915171,0.033333333,0,0.033333333,0.033333333,0,0,0,1,0,0.033333333,0.289268507,0.007407407,0.059259259,2.291187324,0.440890868,0.268078648,0,1,3.056420322,0.01382716,0.538386194,0,0.02962963,2.05109683,0.414814815,0.059835391,0.267734888,0.014814815,0.103703704,0,0.041069959,0.311034698,0.011111111,0.085185185,2.617098694,0.20874911,0.330925249,0.105072464,0.523809524,2.911758363,0,3.943820225,0.058387184,3,4,0.216324003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.0253,6.40542,17.7905,0.167691,18,14,22,1.69218,0.17195,0.966685,0.0356359,0.23,0.0359,5.38801,17.8061,0.166506,18,14,22,1.47408,0.339103,0.967674,0.0357917,0.23,0.815614074,0.990702326,1.66
18,760,43780,760,43780,0,0,0.01,0.017359525,1,0,1,1,0,0.002652016,0.254831322,0.002631579,0.025,0.007307077,0,0.999086341,0.999086341,0,0.002652016,0.174850045,0.001370489,0.004020101,4.319945532,0.982154033,0.00365863,0.966666667,0.988636364,0.528437192,0.002629175,0.176369089,0.001347647,0.003997259,4.319945532,0.999086341,0.002474514,0.16580704,0.001301964,0.003631795,0.01,0.000084145,16.76986871,0.000022841,0.061466423,0.442815542,0.718137075,0.171198025,0.000742942,1,0.440526583,6.29,3.384716733,0.143742688,3,4,0.666326055,0.76,1436.32,0.959665667,318,4222,3982,403,2928,445,522,41.67126243,0.196959411,32.42696629,56.31381162,53.46741855,33.78411405,51.43103448,34.75210084,36.65195246,4.99,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,18.3283,18.5127,351.39,0.0503083,352,334,369,26.9274,0.123718,1.00664,0.216651,2.1,6.10453,0.200943,351.653,0.0398199,352,334,370,22.7896,0.203893,0.999393,0.000183803,2.12,0.720328283,0.893993094,2
19,191147,119046,10350,119046,17.46830918,0,0.08,0.086941182,0.424961098,0.72979316,0,1,2.063123926,0.000430357,0.810292438,0.000096618,0.002995169,1.858564192,0.001394419,0.225324664,0.445029652,0.01,0.000153265,1.481199305,0.0000168,0.001176016,1.952981889,0.38849182,0.443185387,0,0.951219512,1.782795642,0.000112609,1.042517583,0.0000168,0.000336005,1.903546391,0.359046083,0.000135897,1.238570764,0.0000084,0.00071401,4.6,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,10.05373134,0.106149091,8,12,1.461134906,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,1.5,0.471405,3970.5,0.00160281,3970.5,3966,3966,0.300132,0.0704166,0.963715,0.000576068,2.07,425.143,0.0577513,3944.24,0.0133526,3931,3888,4018,0.126569,0.0549379,0.995412,0.00114861,2.45,0.002068198,0.013308479,2
21,84721,124945,73930,124945,0.145962397,0,0.06,0.591700348,0.66596125,0.546495804,0,1,1.123076409,0.000027648,0.555802667,0.000013526,0.000162316,1.158163109,0.498307255,0.566345192,0.903293449,0.01,0.000028056,2.053703356,0.000008004,0.002240986,0.865501341,0.847122864,0.350162157,0,1,0.7258352,0.000017195,1.709901092,0.000008004,0.001368602,0.78119014,0.761286966,0.000012309,2.965770022,0,0.001176518,14.55,0.00012143,1.630379673,0,0.003537557,2.613106601,0.075495172,1.287659341,0,0.695121951,2.349055642,6.4,3.704757904,1.568432317,1,19,0.787567869,10.01,754.9642857,0.302231773,263,1195,1103,457,895,626,752,17.29883705,0.237765043,10.04775281,25.46741964,21.08044693,11.2077728,20.42021277,13.99298738,18.86170213,2.79,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,16505,0,0,0,0,0,0,1.21563,0,1.72575,0,2.05,2972.69,2.43655,30843.3,0.300494,33473,33180,33531,0.467524,0.636779,1.14812,0.538365,2.23,0.000033838,0.001683508,2
23,142353,180758,123543,180758,0.152254681,0,0.07,0.683471824,0.742684328,0.474196231,0,1,1.013153305,0.000014677,0.612124121,0.000008094,0.000089038,1.060862731,0.610230253,0.671300855,0.921038073,0.02,0.000014751,2.523447658,0.000005532,0.002589097,0.637503725,0.89842938,0.293270919,0,1,0.548815722,0.000009569,1.920967192,0.000005532,0.001571161,0.580633309,0.810066498,0.000005967,3.903322167,0,0.001504774,40.85,0.000081509,2.386572382,0,0.003938968,2.269380199,0.062519798,1.525767589,0,0.689900427,1.951138943,14.74,2.706690741,1.695985337,1,18,0.589064468,10.01,870.8275862,0.310829145,483,1659,1412,539,979,745,809,17.89248734,0.238639055,8.902348578,27.64965986,22.50271248,10.80924287,21.02226345,15.6080207,18.15298088,4.99,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,48504,0,0,0,0,0,0,1.38021,0,4.11242,0,2.06,1396.14,0.163101,57802.4,0.00166272,57783,57686,57839,0.685651,0.210346,0.98894,0.00368053,2.14,0.000020193,0.005193688,2
24,588,4151,588,4151,0,0,0,0.141652614,1,0,1,1,0,0.003495592,0.476110846,0.00170068,0.022108844,0.206863019,0.033485907,0.990845579,0.990845579,0,0.003495592,0.821609508,0.000240906,0.009636232,2.910891157,0.890531048,0.088231263,0.6,1,2.556398148,0.003311635,0.848100266,0.000240906,0.009395326,2.910891157,0.990363768,0.005317955,0.671271896,0,0.012286196,0,0.00092207,5.655837362,0,0.105034931,0.227471115,0.638035133,0.211394547,0,0.666666667,0.199006398,0.08,3.180579216,0.393795916,1,4,0.860361899,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,14.2973,0.411018,183.744,0.0545438,184,171,196,5.49373,0.117377,0.999507,0.0212745,2.29,14.9354,0.0231928,183.787,0.0528944,184,171,196,5.61737,0.130187,0.999941,0.000327263,2.58,0.124598442,0.737667924,2
27,80,480,80,480,0,0,0,0.166666667,0.5,1,0,1,0.693147181,0.05,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0,0.0125,0,0.0125,0.0125,0,0.25,0.025833333,0.08224225,0.01875,0.027083333,0,0.068125,0.027522936,0.0625,0.06875,0.325082973,0.451769881,0.0466511,0.438502674,0.529032258,1.348085287,0.03,4.202531646,0.095629565,4,5,0.503892064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,1.0501,1.14692,14.2566,0.169647,14,11,17,1.26296,0.268007,0.882588,0.0822458,0.3,0.6676,1.20614,14.3317,0.169858,14,11,17,0.934147,0.439894,0.871085,0.078886,0.39,0.46568625,0.831975187,1.57
28,180,1839,180,1839,0,0,0,0.097879282,0.477977162,0.574893714,0.333333333,1,0.523040688,0.031566069,0.167157997,0.005555556,0.033333333,0.350809367,0.004893964,0.004893964,0.102773246,0,0.031566069,0.003754435,0.03153888,0.032082654,0.198515243,0.28664199,0.162214892,0.152542373,0.517241379,0.856246551,0.00165851,0.07145736,0.001631321,0.002175095,0.198515243,0.102773246,0.01805329,0.057623875,0.01576944,0.019032083,0,0.046917713,0.12113083,0.013050571,0.05165851,1.052659652,0.487485357,0.237964942,0.427192982,0.833635814,1.094957067,0.87,4,0,4,4,0,0.01,752.5,0.368770764,475,1030,1030,475,1030,475,1030,7.276765457,0.180376149,5.964210526,8.589320388,8.589320388,5.964210526,8.589320388,5.964210526,8.589320388,0.02,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,7.6483,0.429743,21.4855,0.152305,21,17,26,0.547753,0.301508,0.700733,0.125123,1.37,5.2279,0.428593,21.4638,0.151097,21,17,26,0.26238,0.399735,0.66278,0.112973,2.25,0.116257933,0.420617626,2
29,90242,49406,5250,49406,16.18895238,0,0.03,0.106262397,0.451566849,0.80593017,0,1,2.075223257,0.000884003,1.115338126,0.000190476,0.005904762,1.903472463,0.003359916,0.367647654,0.590596284,0.01,0.000713936,0.864206888,0.000101202,0.002833664,2.663082275,0.794080416,0.282031698,0,0.951219512,2.319287577,0.00051374,0.43630111,0.000040481,0.000809618,2.553274282,0.471663361,0.000649535,0.566589801,0.000040481,0.001720439,1.12,-1,0,-1,0,-512,-1,0,-1,0,0,20.01,9.06678487,0.104069711,7,11,1.346164309,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,260.462,3.57325,1728.62,0.300819,1868,1832,1903,1.57157,2.2925,1.04194,0.272051,2.08,207.14,0.0735296,1869.37,0.0176105,1871,1825,1906,0.144894,3.53322,0.992873,0.00245608,2.66,0.002554243,0.015040397,2
30,12613,20373,12613,20373,0,0,0.01,0.619103716,0.732528219,0.485036421,0,1,1.230543291,0.000182231,1.357495558,0.000079283,0.002774915,1.322270645,0.53585628,0.617042164,0.866980808,0,0.000182231,3.108607173,0.000049085,0.014823541,0.714632724,0.900697009,0.263341646,0,1,0.681221761,0.000077209,2.522981577,0,0.007460855,0.601488713,0.702302066,0.000272753,3.105676518,0,0.012811073,0.43,0.001403019,2.265768315,0,0.034064693,2.764746037,0.098454844,1.307733178,0,0.620636873,2.280907307,6.29,1.615634663,0.975790742,1,6,0.50296806,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,33.2973,4.74827,5720.62,0.16915,5878,5813,5925,0.975669,0.0680613,0.994413,0.0285096,2.08,53.8273,0.130769,5889.72,0.0499391,5907,5833,5972,1.08547,0.0304804,0.997166,0.00114454,2.82,0.000234044,0.009761968,0.96
31,80,224,80,224,0,0,0,0.357142857,0.49702381,0.577308864,0.333333333,1,0.557377266,0.0375,0,0.0375,0.0375,0,0,0,1,0,0.0375,0.058321184,0.035714286,0.040178571,0.673011667,0.367361111,0.217039165,0,0.777777778,1.937576407,0.021930804,0.305672003,0.008928571,0.035714286,1.794192878,0.584821429,0.068526786,0.087463984,0.053571429,0.080357143,0,0.045639349,0.221715403,0.017857143,0.075892857,2.20920112,0.212340466,0.278554125,0.125,0.6,2.708961347,0,3.924050633,0.067511128,3,4,0.268763093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-512,-512,-512,-512,0,0,0,0,-512,-512,-512,-512,-512,-512,0.0211,7.70888,15.9291,0.171517,16,12,19,1.53447,0.188503,0.956328,0.046405,0.2,0.0185,7.36398,15.9265,0.171432,16,12,19,1.35914,0.327599,0.957225,0.0464164,0.19,0.867833333,0.99233705,1.48
